full_model_0
50 epochs, no oversampling, no spec augment, random crop, with scheduler, no focal loss, with bias initialization, early stopping with patience 15, 6 seconds, n_mels=64
epoch,train_loss,val_loss,val_mAP
1,0.0455,0.0537,0.1422
2,0.0396,0.0526,0.1756
3,0.0372,0.0509,0.2158
4,0.0356,0.0526,0.228
5,0.0344,0.0472,0.2594
6,0.0335,0.0473,0.2721
7,0.0326,0.0474,0.2831
8,0.0318,0.0459,0.2893
9,0.0313,0.0455,0.2976
10,0.0307,0.0456,0.3086
11,0.0301,0.0466,0.3094
12,0.0296,0.0456,0.3179
13,0.0291,0.0451,0.3164
14,0.0289,0.0449,0.3239
15,0.0284,0.045,0.3267
16,0.028,0.0451,0.3285
17,0.0277,0.0449,0.3373
18,0.0275,0.0437,0.3461
19,0.0272,0.0435,0.342
20,0.0269,0.043,0.3515
21,0.0266,0.0438,0.3524
22,0.0264,0.0429,0.3522
23,0.0262,0.0432,0.3537
24,0.0259,0.0428,0.3565
25,0.0258,0.0437,0.3559
26,0.0254,0.0446,0.3571
27,0.0253,0.0439,0.352
28,0.0251,0.0429,0.3631
29,0.0249,0.043,0.3658
30,0.0247,0.0426,0.3669
31,0.0245,0.0432,0.3639
32,0.0245,0.0433,0.3695
33,0.0243,0.0428,0.3644
34,0.0241,0.0431,0.3658
35,0.0241,0.0432,0.3739
36,0.024,0.0431,0.3708
37,0.0238,0.0428,0.3698
38,0.0237,0.0431,0.3745
39,0.0237,0.0427,0.3728
40,0.0236,0.0436,0.3747
41,0.0235,0.0428,0.3783
42,0.0234,0.0431,0.3765
43,0.0233,0.0432,0.3753
44,0.0232,0.0431,0.3772
45,0.0231,0.0431,0.3766
46,0.0232,0.043,0.3817
47,0.0232,0.0427,0.378
48,0.0232,0.0429,0.3773
49,0.0231,0.043,0.3797
50,0.0231,0.0429,0.3781

full_model_1
100 epochs, no oversampling, no spec augment, random crop, with scheduler, with focal loss, with bias initialization, early stopping with patience 15, 6 seconds, n_mels=64
epoch,train_loss,val_loss,val_mAP
1,0.0929,0.08,0.1245
2,0.0645,0.0715,0.1533
3,0.0599,0.0693,0.1755
4,0.0571,0.0688,0.2064
5,0.055,0.0731,0.2151
6,0.0532,0.0655,0.227
7,0.0517,0.0651,0.2323
8,0.0503,0.0653,0.2498
9,0.0495,0.0666,0.2606
10,0.048,0.0682,0.2581
11,0.0472,0.0652,0.2648
12,0.0463,0.0628,0.2799
13,0.0455,0.0614,0.2904
14,0.0446,0.0627,0.272
15,0.0439,0.066,0.2914
16,0.0428,0.0596,0.2956
17,0.0424,0.0653,0.2945
18,0.0419,0.0606,0.3023
19,0.041,0.0635,0.3146
20,0.0408,0.0597,0.3149
21,0.0401,0.0613,0.3095
22,0.0395,0.0614,0.313
23,0.0393,0.0634,0.3115
24,0.0388,0.0632,0.3206
25,0.0383,0.0597,0.3224
26,0.0377,0.0633,0.3148
27,0.0371,0.0631,0.3277
28,0.0369,0.0605,0.3264
29,0.0368,0.0596,0.3278
30,0.0362,0.0618,0.3369
31,0.0357,0.0619,0.3315
32,0.0355,0.0616,0.3311
33,0.0351,0.0628,0.3331
34,0.0348,0.0603,0.3385
35,0.0345,0.0643,0.3377
36,0.034,0.0596,0.3469
37,0.0339,0.0609,0.3441
38,0.0337,0.0614,0.3412
39,0.0334,0.0593,0.3422
40,0.0332,0.0625,0.3468
41,0.0329,0.061,0.3453
42,0.0327,0.0594,0.3545
43,0.0324,0.0597,0.3469
44,0.0323,0.062,0.3477
45,0.0318,0.0602,0.3576
46,0.0315,0.0617,0.3545
47,0.0314,0.0611,0.3558
48,0.0312,0.06,0.3609
49,0.0311,0.0607,0.3562
50,0.0308,0.0603,0.3591
51,0.0308,0.0621,0.3575
52,0.0305,0.0603,0.3618
53,0.0305,0.0629,0.3574
54,0.03,0.0608,0.3618
55,0.03,0.0607,0.3673
56,0.0299,0.0618,0.3659
57,0.0296,0.0605,0.3692
58,0.0295,0.0602,0.3665
59,0.0295,0.0622,0.3659
60,0.0291,0.0607,0.3679
61,0.029,0.0616,0.3715
62,0.029,0.0613,0.3696
63,0.0288,0.0607,0.3666
64,0.0286,0.0607,0.3712
65,0.0286,0.0608,0.3707
66,0.0285,0.0618,0.375
